canonical_name,level,abbreviation,hierarchy_path_abbrev,hierarchy_path
Oklahoma City Air Logistics Complex (Tinker),5,OC-ALC,DoD>USAF>AFMC>ALC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Air Logistics Complexes>Oklahoma City Air Logistics Complex (Tinker)
Ogden Air Logistics Complex (Hill),5,OO-ALC,DoD>USAF>AFMC>ALC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Air Logistics Complexes>Ogden Air Logistics Complex (Hill)
Sacramento Air Logistics Center,5,,DoD>USAF>AFMC>ALC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Air Logistics Complexes>Sacramento Air Logistics Center
San Antonio Air Logistics Complex,5,,DoD>USAF>AFMC>ALC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Air Logistics Complexes>San Antonio Air Logistics Complex
ACC Aberdeen Proving Ground,5,APG,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>ACC Aberdeen Proving Ground
ACC Orlando,5,ORL,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>ACC Orlando
ACC Redstone,5,RSA,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>ACC Redstone
ACC Picatinny,5,PICA,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>ACC Picatinny
ACC Rock Island,5,RI,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>ACC Rock Island
ACC Detroit,5,DTA,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>ACC Detroit
ACC Benét Laboratories,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>ACC Benét Laboratories
Operations Center Northwest,5,,USDA>USFS>HQ>EROC,Department of Agriculture>Forest Service>USFS Headquarters>Economic Recovery Operations>Operations Center Northwest
Operations Center Southwest,5,,USDA>USFS>HQ>EROC,Department of Agriculture>Forest Service>USFS Headquarters>Economic Recovery Operations>Operations Center Southwest
Operations Center Intermountain,5,,USDA>USFS>HQ>EROC,Department of Agriculture>Forest Service>USFS Headquarters>Economic Recovery Operations>Operations Center Intermountain
Operations Center East,5,,USDA>USFS>HQ>EROC,Department of Agriculture>Forest Service>USFS Headquarters>Economic Recovery Operations>Operations Center East
ERDC Geospatial Research Laboratory,5,GRL,DoD>USA>USACE>ERDC,Department of Defense>Department of the Army>U.S. Army Corps of Engineers>Engineer Research and Development Center>ERDC Geospatial Research Laboratory
ERDC Topographic Engineering Center,5,TEC,DoD>USA>USACE>ERDC,Department of Defense>Department of the Army>U.S. Army Corps of Engineers>Engineer Research and Development Center>ERDC Topographic Engineering Center
408th Contracting Support Brigade,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>408th Contracting Support Brigade
Regional Contracting Center Bagram,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Bagram
Regional Contracting Center Phoenix,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Phoenix
Regional Contracting Center Shindand,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Shindand
410th Contracting Support Brigade,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>410th Contracting Support Brigade
411th Contracting Support Brigade,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>411th Contracting Support Brigade
Regional Contracting Center Kandahar,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Kandahar
Regional Contracting Center Mazar E Sharif,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Mazar E Sharif
Regional Contracting Center Shank,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Shank
Regional Contracting Center Fenty,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Fenty
Regional Contracting Center Salerno,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Salerno
630th Support Detachment,6,,DoD>USA>AMC>ACC>*,#VALUE!
670th Contracting Team,6,,DoD>USA>AMC>ACC>*,#VALUE!
Regional Contracting Center Victory,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Victory
Kuwait Office,6,,DoD>USA>AMC>ACC>*,#VALUE!
Regional Contracting Center Echo,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Echo
629th Contracting Team,6,,DoD>USA>AMC>ACC>*,#VALUE!
Regional Contracting Center Leatherneck,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Leatherneck
Regional Contracting Center Herat,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Herat
409th Contracting Support Brigade,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>409th Contracting Support Brigade
413th Contracting Support Brigade,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>413th Contracting Support Brigade
Regional Contracting Center Kabul,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Kabul
646th Support Detachment,6,,DoD>USA>AMC>ACC>*,#VALUE!
Regional Contracting Center Sharana,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Sharana
Regional Contracting Office Wuerzburg,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Office Wuerzburg
Regional Contracting Office Sechenheim,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Office Sechenheim
Regional Contracting Center Balad,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Balad
Regional Contracting Center Dwyer,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Center Dwyer
Regional Contracting Office Grafenwoehr,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>Regional Contracting Office Grafenwoehr
ECC Europe,5,ECC-E,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>ECC Europe
414th Contracting Support Brigade,5,,DoD>USA>AMC>ACC,Department of Defense>Department of the Army>Army Materiel Command>Army Contracting Command>414th Contracting Support Brigade
FBI Indianapolis Field Office,4,,DOJ>FBI>FO,Department of Justice>Federal Bureau of Investigation>FBI Field Offices>FBI Indianapolis Field Office
FBI Jackson Field Office,4,,DOJ>FBI>FO,Department of Justice>Federal Bureau of Investigation>FBI Field Offices>FBI Jackson Field Office
AFLCMC Hanscom AFB,5,,DoD>USAF>AFMC>AFLCMC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Lifecycle Management Center>AFLCMC Hanscom AFB
AFLCMC Wright Patterson AFB,5,,DoD>USAF>AFMC>AFLCMC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Lifecycle Management Center>AFLCMC Wright Patterson AFB
AFLCMC Tinker AFB,5,,DoD>USAF>AFMC>AFLCMC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Lifecycle Management Center>AFLCMC Tinker AFB
AFLCMC Robins AFB,5,,DoD>USAF>AFMC>AFLCMC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Lifecycle Management Center>AFLCMC Robins AFB
AFLCMC Maxwell AFB,5,,DoD>USAF>AFMC>AFLCMC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Lifecycle Management Center>AFLCMC Maxwell AFB
AFLCMC Randolph AFB,5,,DoD>USAF>AFMC>AFLCMC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Lifecycle Management Center>AFLCMC Randolph AFB
AFLCMC Hill AFB,5,,DoD>USAF>AFMC>AFLCMC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Lifecycle Management Center>AFLCMC Hill AFB
AFLCMC Peterson AFB,5,,DoD>USAF>AFMC>AFLCMC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Lifecycle Management Center>AFLCMC Peterson AFB
AFLCMC Joint Base San Antonio,5,,DoD>USAF>AFMC>AFLCMC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Lifecycle Management Center>AFLCMC Joint Base San Antonio
AFLCMC Eglin AFB,5,,DoD>USAF>AFMC>AFLCMC,Department of Defense>Department of the Air Force>Air Force Materiel Command>Lifecycle Management Center>AFLCMC Eglin AFB
MICC Fort Eustis,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Eustis
MICC Fort Bragg,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Bragg
MICC Fort Drum,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Drum
MICC Fort Rucker,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Rucker
MICC Fort Sam Houston,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Sam Houston
MICC Fort Sill,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Sill
MICC West Point,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC West Point
MICC Fort Gordon,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Gordon
MICC Fort Leavenworth,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Leavenworth
MICC Moffett Field,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Moffett Field
MICC Fort Irwin,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Irwin
MICC Dugway Proving Ground,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Dugway Proving Ground
MICC Yuma Proving Ground,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Yuma Proving Ground
MICC Fort Monmouth,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Monmouth
MICC Fort Campbell,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Campbell
MICC Fort Carson,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Carson
MICC Fort Benning,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Benning
MICC Fort Leonard Wood,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Leonard Wood
MICC Fort Meade,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Meade
MICC Fort Bliss,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Bliss
MICC Fort Dix,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Dix
MICC Fort AP Hill,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort AP Hill
MICC Fort Jackson,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Jackson
MICC Fort Knox,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Knox
MICC Fort Hood,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Hood
MICC Fort Riley,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Riley
MICC Joint Base Myer Henderson Hall,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Joint Base Myer Henderson Hall
MICC White Sands Missile Range,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC White Sands Missile Range
MICC Fort Buchanan,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Buchanan
MICC Fort Belvoir,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Belvoir
MICC Joint Base Lewis-McChord,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Joint Base Lewis-McChord
MICC Fort McCoy,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort McCoy
MICC Fort Polk,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Polk
MICC Fort Lee,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Lee
MICC Presidio,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Presidio
MICC Fort Stewart,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Fort Stewart
MICC Carlisle Barracks,5,,DoD>USA>AMC>MICC,Department of Defense>Department of the Army>Army Materiel Command>Mission and Installation Contracting Commands>MICC Carlisle Barracks
Cincinnati Procurement Operations Division,5,CPOD,EPA>HQ>OARM>OAS,Environmental Protection Agency>EPA Headquarters>EPA Office of Administration and Resource Management>EPA Office of Acquisition Solutions>Cincinnati Procurement Operations Division
OAS Headquarters Procurement Operations Division,5,HPOD,EPA>HQ>OARM>OAS,Environmental Protection Agency>EPA Headquarters>EPA Office of Administration and Resource Management>EPA Office of Acquisition Solutions>OAS Headquarters Procurement Operations Division
Superfund/RRCA Regional Procurement Operations Division,5,SRRPOD,EPA>HQ>OARM>OAS,Environmental Protection Agency>EPA Headquarters>EPA Office of Administration and Resource Management>EPA Office of Acquisition Solutions>Superfund/RRCA Regional Procurement Operations Division
Research Triangle Park Procurement Operations Division,5,RTPPOD,EPA>HQ>OARM>OAS,Environmental Protection Agency>EPA Headquarters>EPA Office of Administration and Resource Management>EPA Office of Acquisition Solutions>Research Triangle Park Procurement Operations Division
National Analytical Radiation Environmental Laboratory,5,NAREL,EPA>HQ>OAR>ORIA,Environmental Protection Agency>EPA Headquarters>Office of Air and Radiation>Office of Radiation and Indoor Air>National Analytical Radiation Environmental Laboratory
Recruiting Command,5,,DoD>USA>AHQ>CSA,Department of Defense>Department of the Army>Army Headquarters>Chief of Staff of the Army>Recruiting Command
National Vehicle and Fuel Emissions Laboratory,5,NVFEL,EPA>HQ>OAR>OTAQ,Environmental Protection Agency>EPA Headquarters>Office of Air and Radiation>Office of Transportation and Air Quality>National Vehicle and Fuel Emissions Laboratory
Commodity Credit Corporation,2,CCC,USDA,Department of Agriculture>Commodity Credit Corporation
Central Intelligence Agency,1,CIA,,Central Intelligence Agency
Army Geospatial Center,4,AGC,DoD>USA>USACE,Department of Defense>Department of the Army>U.S. Army Corps of Engineers>Army Geospatial Center
NOAA Acquisition and Grants Office,3,AGO,DOC>NOAA,Department of Commerce>National Oceanic and Atmospheric Administration>NOAA Acquisition and Grants Office
National Weather Service,3,NWS,DOC>NOAA,Department of Commerce>National Oceanic and Atmospheric Administration>National Weather Service
"National Environmental Satellite, Data, and Information Service",3,NESDIS,DOC>NOAA,"Department of Commerce>National Oceanic and Atmospheric Administration>National Environmental Satellite, Data, and Information Service"
National Ocean Service,3,NOS,DOC>NOAA,Department of Commerce>National Oceanic and Atmospheric Administration>National Ocean Service
Office of Marine & Aviation Operations,3,OMAO,DOC>NOAA,Department of Commerce>National Oceanic and Atmospheric Administration>Office of Marine & Aviation Operations
Office of Oceanic & Atmospheric Research,3,OAR,DOC>NOAA,Department of Commerce>National Oceanic and Atmospheric Administration>Office of Oceanic & Atmospheric Research
National Marine Fisheries Service,3,NMFS,DOC>NOAA,Department of Commerce>National Oceanic and Atmospheric Administration>National Marine Fisheries Service
Sandia National Laboratories,3,,DOE>NNSA,Department of Energy>National Nuclear Security Administration>Sandia National Laboratories
Lawrence Livermore National Laboratory,3,LLNL,DOE>NNSA,Department of Energy>National Nuclear Security Administration>Lawrence Livermore National Laboratory
Nevada National Security Site,3,NNSS,DOE>NNSA,Department of Energy>National Nuclear Security Administration>Nevada National Security Site
Los Alamos National Laboratory,3,LANL,DOE>NNSA,Department of Energy>National Nuclear Security Administration>Los Alamos National Laboratory
NNSA Maintenance and Operations,3,,DOE>NNSA,Department of Energy>National Nuclear Security Administration>NNSA Maintenance and Operations
NNSA Weapons Activities,3,,DOE>NNSA,Department of Energy>National Nuclear Security Administration>NNSA Weapons Activities
Y-12 National Security Complex,3,Y12,DOE>NNSA,Department of Energy>National Nuclear Security Administration>Y-12 National Security Complex
Savannah River Site,3,SRS,DOE>NNSA,Department of Energy>National Nuclear Security Administration>Savannah River Site
Pantex Plant,3,,DOE>NNSA,Department of Energy>National Nuclear Security Administration>Pantex Plant
Naval Nuclear Laboratory (Naval Reactors),3,,DOE>NNSA,Department of Energy>National Nuclear Security Administration>Naval Nuclear Laboratory (Naval Reactors)
Kansas City National Security Campus,3,KSNSC,DOE>NNSA,Department of Energy>National Nuclear Security Administration>Kansas City National Security Campus
NNSA Headquarters,3,HQ,DOE>NNSA,Department of Energy>National Nuclear Security Administration>NNSA Headquarters
Idaho Operations Office,2,,DOE,Department of Energy>Idaho Operations Office
Richland Operations Office,2,,DOE,Department of Energy>Richland Operations Office
Albuquerque Operations Office,2,,DOE,Department of Energy>Albuquerque Operations Office
Oak Ridge National Laboratory,3,ORNL,DOE>OS,Department of Energy>Office of Science>Oak Ridge National Laboratory
Office of Science Consolidated Service Center (Chicago Service Center),3,CSC,DOE>NNSA,Department of Energy>National Nuclear Security Administration>Office of Science Consolidated Service Center (Chicago Service Center)
SSA Office of Acquisition and Grants,2,OAG,SSA,Social Security Administration>SSA Office of Acquisition and Grants
FNS Headquarters,3,HQ,USDA>FNS,Department of Agriculture>Food and Nutrition Service>FNS Headquarters
Missile Defense Integration and Operations Center,3,MDIOC,DoD>MDA,Department of Defense>Missile Defense Agency>Missile Defense Integration and Operations Center
Antarctic Infrastructure and Logistics Division,2,AIL,NSF,National Science Foundation>Antarctic Infrastructure and Logistics Division
Antarctic Sciences Division,2,,NSF,National Science Foundation>Antarctic Sciences Division
NAWC Weapons Division,5,NAWCWD,DoD>USN>NAVAIR>*,Department of Defense>Department of the Navy>Naval Air Systems Command>Naval Air Warfare Centers>NAWC Weapons Division
NAWC Aircraft Division,5,NAWCAD,DoD>USN>NAVAIR>*,Department of Defense>Department of the Navy>Naval Air Systems Command>Naval Air Warfare Centers>NAWC Aircraft Division
NAWC Training Systems Division,5,NAWCTSD,DoD>USN>NAVAIR>*,Department of Defense>Department of the Navy>Naval Air Systems Command>Naval Air Warfare Centers>NAWC Training Systems Division
Military Satellite Communications Systems Directorate,5,,DoD>USAF>USSF>SSC,Department of Defense>Department of the Air Force>Space Force>Space Systems Command>Military Satellite Communications Systems Directorate
Global Positioning Systems Directorate,5,,DoD>USAF>USSF>SSC,Department of Defense>Department of the Air Force>Space Force>Space Systems Command>Global Positioning Systems Directorate
Remote Sensing Directorate,5,,DoD>USAF>USSF>SSC,Department of Defense>Department of the Air Force>Space Force>Space Systems Command>Remote Sensing Directorate
Launch Enterprise Directorate,5,,DoD>USAF>USSF>SSC,Department of Defense>Department of the Air Force>Space Force>Space Systems Command>Launch Enterprise Directorate
Space Superiority Systems Directorate,5,,DoD>USAF>USSF>SSC,Department of Defense>Department of the Air Force>Space Force>Space Systems Command>Space Superiority Systems Directorate
Advanced Systems and Development Directorate,5,,DoD>USAF>USSF>SSC,Department of Defense>Department of the Air Force>Space Force>Space Systems Command>Advanced Systems and Development Directorate
Range and Network Systems Division,5,,DoD>USAF>USSF>SSC,Department of Defense>Department of the Air Force>Space Force>Space Systems Command>Range and Network Systems Division
CMS Office of Acquisition and Grants Management,3,OAGM,HHS>CMS,Department of Health and Human Services>Centers for Medicare and Medicaid Services>CMS Office of Acquisition and Grants Management
IRS Office of the Chief Procurement Officer,3,OCPO,USDT>IRS,Department of the Treasury>Internal Revenue Service>IRS Office of the Chief Procurement Officer
IRS Chief Information Officer,3,CIO,USDT>IRS,Department of the Treasury>Internal Revenue Service>IRS Chief Information Officer
IRS Criminal Investigations,3,CI,USDT>IRS,Department of the Treasury>Internal Revenue Service>IRS Criminal Investigations
FHWA Office of the Chief Financial Officer,3,CFO,DOT>FHWA,Department of Transportation>Federal Highway Administration>FHWA Office of the Chief Financial Officer
Office of Federal Lands Highway,3,FLH,DOT>FHWA,Department of Transportation>Federal Highway Administration>Office of Federal Lands Highway
FHWA Office of Acquisition and Grants Management,4,,DOT>FHWA>CFO,Department of Transportation>Federal Highway Administration>FHWA Office of the Chief Financial Officer>FHWA Office of Acquisition and Grants Management
Eastern Federal Lands Highway Division,4,EFLHD,DOT>FHWA>FLH,Department of Transportation>Federal Highway Administration>Office of Federal Lands Highway>Eastern Federal Lands Highway Division
Central Federal Lands Highway Division,4,CFLHD,DOT>FHWA>FLH,Department of Transportation>Federal Highway Administration>Office of Federal Lands Highway>Central Federal Lands Highway Division
Western Federal Lands Highway Division,4,WFLHD,DOT>FHWA>FLH,Department of Transportation>Federal Highway Administration>Office of Federal Lands Highway>Western Federal Lands Highway Division
FTA Region 1,3,,DOT>FTA,Department of Transportation>Federal Transit Administration>FTA Region 1
FTA Region 2,3,,DOT>FTA,Department of Transportation>Federal Transit Administration>FTA Region 2
FTA Region 3,3,,DOT>FTA,Department of Transportation>Federal Transit Administration>FTA Region 3
FTA Region 4,3,,DOT>FTA,Department of Transportation>Federal Transit Administration>FTA Region 4
FTA Region 5,3,,DOT>FTA,Department of Transportation>Federal Transit Administration>FTA Region 5
FTA Region 6,3,,DOT>FTA,Department of Transportation>Federal Transit Administration>FTA Region 6
FTA Region 7,3,,DOT>FTA,Department of Transportation>Federal Transit Administration>FTA Region 7
FTA Region 8,3,,DOT>FTA,Department of Transportation>Federal Transit Administration>FTA Region 8
FTA Region 9,3,,DOT>FTA,Department of Transportation>Federal Transit Administration>FTA Region 9
FTA Region 10,3,,DOT>FTA,Department of Transportation>Federal Transit Administration>FTA Region 10
FTA Office of Budget and Policy,3,,DOT>FTA,Department of Transportation>Federal Transit Administration>FTA Office of Budget and Policy
TAC New Jersey,4,,VA>HQ>TAC,Department of Veterans Affairs>VA Headquarters>Technology Acquisition Center>TAC New Jersey
TAC Texas,4,,VA>HQ>TAC,Department of Veterans Affairs>VA Headquarters>Technology Acquisition Center>TAC Texas
NSWC Crane Division,5,,DoD>USN>NAVSEA>NSWC,Department of Defense>Department of the Navy>Naval Sea Systems Command>Naval Surface Warfare Centers>NSWC Crane Division
NSWC Carderock Division,5,,DoD>USN>NAVSEA>NSWC,Department of Defense>Department of the Navy>Naval Sea Systems Command>Naval Surface Warfare Centers>NSWC Carderock Division
NSWC Corona Division,5,,DoD>USN>NAVSEA>NSWC,Department of Defense>Department of the Navy>Naval Sea Systems Command>Naval Surface Warfare Centers>NSWC Corona Division
NSWC Dahlgren Division,5,,DoD>USN>NAVSEA>NSWC,Department of Defense>Department of the Navy>Naval Sea Systems Command>Naval Surface Warfare Centers>NSWC Dahlgren Division
NSWC Indian Head Division,5,,DoD>USN>NAVSEA>NSWC,Department of Defense>Department of the Navy>Naval Sea Systems Command>Naval Surface Warfare Centers>NSWC Indian Head Division
NSWC Panama City Division,5,,DoD>USN>NAVSEA>NSWC,Department of Defense>Department of the Navy>Naval Sea Systems Command>Naval Surface Warfare Centers>NSWC Panama City Division
NSWC Philadelphia Division,5,,DoD>USN>NAVSEA>NSWC,Department of Defense>Department of the Navy>Naval Sea Systems Command>Naval Surface Warfare Centers>NSWC Philadelphia Division
NSWC Port Hueneme Division,5,PHD,DoD>USN>NAVSEA>NSWC,Department of Defense>Department of the Navy>Naval Sea Systems Command>Naval Surface Warfare Centers>NSWC Port Hueneme Division
NUWC Keyport Division,5,,DoD>USN>NAVSEA>NUWC,Department of Defense>Department of the Navy>Naval Sea Systems Command>Naval Undersea Warfare Center>NUWC Keyport Division
NUWC Newport Division,5,,DoD>USN>NAVSEA>NUWC,Department of Defense>Department of the Navy>Naval Sea Systems Command>Naval Undersea Warfare Center>NUWC Newport Division
MINT Headquarters,3,HQ,USDT>USM,Department of the Treasury>United States Mint>MINT Headquarters
Gold Bullion Fund,3,,USDT>USM,Department of the Treasury>United States Mint>Gold Bullion Fund
Silver Bullion Fund,3,,USDT>USM,Department of the Treasury>United States Mint>Silver Bullion Fund
Platinum Bullion Fund,3,,USDT>USM,Department of the Treasury>United States Mint>Platinum Bullion Fund
United States Army Intelligence Center of Excellence,4,USAICOE,DoD>USA>TRADOC,Department of Defense>Department of the Army>Training and Doctrine Command>United States Army Intelligence Center of Excellence
USDT Office of Terrorism and Financial Intelligence,3,TFI,USDT>DO,Department of the Treasury>Departmental Offices>USDT Office of Terrorism and Financial Intelligence
DEA Office of National Security Intelligence,3,ONSI,DOJ>DEA,Department of Justice>Drug Enforcement Administration>DEA Office of National Security Intelligence
Injury Center,3,NCIPC,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>Injury Center
DEVCOM Armaments Center,5,AC,DoD>USA>AMC>DEVCOM,Department of Defense>Department of the Army>Army Materiel Command>Combat Capabilities Development Command>DEVCOM Armaments Center
DEVCOM Army Research Laboratory,5,ARL,DoD>USA>AMC>DEVCOM,Department of Defense>Department of the Army>Army Materiel Command>Combat Capabilities Development Command>DEVCOM Army Research Laboratory
DEVCOM Aviation & Missile Center,5,AVMC,DoD>USA>AMC>DEVCOM,Department of Defense>Department of the Army>Army Materiel Command>Combat Capabilities Development Command>DEVCOM Aviation & Missile Center
DEVCOM Chemical Biological Center,5,CBC,DoD>USA>AMC>DEVCOM,Department of Defense>Department of the Army>Army Materiel Command>Combat Capabilities Development Command>DEVCOM Chemical Biological Center
